business_name,category,description,keyvals,product_link,product_name,regular_price,sale_price
tls,wine,,"{""Volume"": ""70 cl"", ""ABV"": ""43%"", ""Type"": ""Single Malt\u00a0Whisky"", ""Age"": ""12"", ""With Box"": ""Yes""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/royal-lochnagar-12-years,Royal Lochnagar 12 Years Old,[110.0],[110.0]
tls,wine,,"{""Distillery"": ""Royal Brackla"", ""Classification"": ""Single Malt Whisky"", ""Bottle\u00a0No./Released"": ""-/-"", ""Age"": ""21"", ""ABV/ Volume"": ""/ 70cl"", ""Cask Number"": ""-""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/royal-brackla-21-years,Royal Brackla 21 Years Old,[338.0],[420.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Paul John Edited"", ""Volume:"": ""700ml"", ""Alcohol Percentage:"": ""46%"", ""Type:"": ""Indian\u00a0Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/paul-john-edited,Paul John Edited 70cl,[122.8],[138.9]
tls,wine,,"{""Volume"": ""700ml"", ""ABV"": ""40%"", ""Type"": ""Single Malt Irish Whisky"", ""Age"": ""21"", ""With Box"": ""Yes""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/redbreast-21-years-old,Redbreast 21 Years Old 70cl,[349.9],[380.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Passport Blended Scotch Whisky"", ""Volumn:"": ""1000ml"", ""Alcohol Percentage:"": ""40%"", ""Type:"": ""Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/passport-blended-scotch-whisky,Passport Blended Scotch Whisky 1L,[59.9],[89.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of William Larue Weller Antique 107 Bourbon Whisky"", ""Volumn:"": ""750ml"", ""Alcohol Percentage:"": ""64.1%"", ""Type:"": ""Bourbon Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/william-larue-weller-antique-107-bourbon-whisky,William Larue Weller Antique 107 Bourbon Whisky 75cl,[138.0],[180.0]
tls,wine,,,https://www.theliquorshop.com.sg/collections/whisky-singapore/products/aberlour-16-year-old-double-cask-matured-70cl,Aberlour 16 Year Old Double Cask Matured Single Malt Scotch Whisky 70cl,[189.9],[228.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of William Larue Weller\u00a0Special Reserve Bourbon Whisky"", ""Volumn:"": ""750ml"", ""Alcohol Percentage:"": ""45%"", ""Type:"": ""Bourbon Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/william-larue-weller-special-reserve-bourbon-whisky,William Larue Weller Special Reserve Bourbon Whisky 75cl,[120.0],[148.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Colonel Edmund Haynes(EH) Taylor Single\u00a0Barrel Bourbon Whisky"", ""Volumn:"": ""750ml"", ""Alcohol Percentage:"": ""50%"", ""Type:"": ""Bourbon Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/colonel-edmund-hayneseh-taylor-single-barrel-bourbon-whisky,Colonel Edmund Haynes(EH) Taylor Single Barrel Bourbon Whisky 75cl,[280.0],[428.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of William Larue Weller Bourbon Whisky 2005 Bot.2017 Release"", ""Volumn:"": ""750ml"", ""Alcohol Percentage:"": ""64.1%"", ""Type:"": ""Bourbon Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/william-larue-weller-bourbon-whisky-2005-bot-2017-release,William Larue Weller Bourbon Whisky 2005 Bot.2017 Release 75cl,[1888.0],[1999.0]
